id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
DOG_001,Wholesome Pork Loin & White Rice Mash,Dog,Adult,"Pork Loin, White Rice, Carrots, Green Beans, Olive Oil","197g, 147g, 70g, 72g, 14g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Green Beans) so they are easily digestible. | Mix the cooked Pork Loin, White Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",169,11.8,8.5,10.6,"Niacin, Vitamin D3, Vitamin E, Vitamin B12","Copper, Zinc, Potassium, Selenium",25 mins,Medium,"Weight Management, Joint Health","Weight Management Support, Joint Health Support",https://pawfeed.ai/recipes/dog-wholesome-pork-loin-and-white-rice-mash
DOG_002,Premium Egg & Potato Skillet Mix,Dog,Senior,"Egg, Potato, Broccoli, Spinach, Salmon Oil","153g, 50g, 24g, 58g, 12g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Spinach) so they are easily digestible. | Mix the cooked Egg, Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",136,7.8,9.8,4.7,"Vitamin D3, Vitamin B12","Phosphorus, Potassium, Magnesium, Zinc",15 mins,Easy,"Weight Management, Senior Pet","Weight Management Support, Senior Pet Support",https://pawfeed.ai/recipes/dog-premium-egg-and-potato-skillet-mix
DOG_003,Premium Egg & Sweet Potato Skillet Mix,Dog,Adult,"Egg, Sweet Potato, Zucchini, Coconut Oil","250g, 86g, 79g, 9g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Egg, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",130,8.2,8.7,5.3,"Vitamin A, Riboflavin, Vitamin D3, Vitamin B12","Selenium, Manganese, Magnesium, Phosphorus",20 mins,Medium,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/dog-premium-egg-and-sweet-potato-skillet-mix
DOG_004,Hearty Venison & Sweet Potato Bake,Dog,Baby,"Venison, Sweet Potato, Celery, Spinach, Coconut Oil","124g, 53g, 36g, 68g, 11g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Spinach) so they are easily digestible. | Mix the cooked Venison, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",119,13.8,5.2,4.8,"Folic Acid, Thiamine","Calcium, Zinc",30 mins,Medium,"High Protein, Digestive Health","High Protein Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-hearty-venison-and-sweet-potato-bake
DOG_005,Nutrient-Rich Pork Loin & Potato Bite-Sized Dinner,Dog,Baby,"Pork Loin, Potato, Carrots, Peas, Broccoli, Salmon Oil","171g, 86g, 77g, 64g, 28g, 11g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Peas, Broccoli) so they are easily digestible. | Mix the cooked Pork Loin, Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",154,12.1,8.1,7.5,"Vitamin E, Vitamin C","Copper, Potassium, Calcium, Manganese",15 mins,Medium,"Joint Health, General Wellness","Joint Health Support, General Wellness Support",https://pawfeed.ai/recipes/dog-nutrient-rich-pork-loin-and-potato-bite-sized-dinner
DOG_006,Savory Chicken Breast & Sweet Potato Mash,Dog,Senior,"Chicken Breast, Sweet Potato, Carrots, Peas, Broccoli, Salmon Oil","138g, 96g, 69g, 63g, 59g, 14g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Peas, Broccoli) so they are easily digestible. | Mix the cooked Chicken Breast, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",122,11.4,4.5,8.8,"Vitamin A, Vitamin C, Niacin, Vitamin B12","Copper, Potassium",15 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-savory-chicken-breast-and-sweet-potato-mash
DOG_007,Homestyle Lamb Lean & Pumpkin Puree Puree topper,Dog,Senior,"Lamb Lean, Pumpkin Puree, Zucchini, Spinach, Flaxseed Oil","207g, 82g, 32g, 29g, 15g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Spinach) so they are easily digestible. | Mix the cooked Lamb Lean, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",210,14.7,16.1,2.0,"Folic Acid, Vitamin A","Selenium, Potassium",25 mins,Easy,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-homestyle-lamb-lean-and-pumpkin-puree-puree-topper
DOG_008,Homestyle Chicken Breast & Quinoa Puree topper,Dog,Senior,"Chicken Breast, Quinoa, Spinach, Celery, Flaxseed Oil","104g, 79g, 62g, 71g, 15g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Celery) so they are easily digestible. | Mix the cooked Chicken Breast, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",128,11.5,6.2,6.3,"Thiamine, Folic Acid, Niacin, Riboflavin","Manganese, Calcium",30 mins,Easy,"Digestive Health, Joint Health","Digestive Health Support, Joint Health Support",https://pawfeed.ai/recipes/dog-homestyle-chicken-breast-and-quinoa-puree-topper
DOG_009,Wholesome Chicken Breast & Oatmeal Mash,Dog,Baby,"Chicken Breast, Oatmeal, Peas, Carrots, Flaxseed Oil","114g, 134g, 44g, 44g, 8g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Carrots) so they are easily digestible. | Mix the cooked Chicken Breast, Oatmeal, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",242,17.7,6.3,28.7,"Thiamine, Vitamin E","Zinc, Copper, Selenium, Manganese",25 mins,Medium,"Skin & Coat, Puppy/Kitten","Skin & Coat Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-wholesome-chicken-breast-and-oatmeal-mash
DOG_010,Premium Cod Fillet & Barley Bite-Sized Dinner,Dog,Baby,"Cod Fillet, Barley, Broccoli, Olive Oil","192g, 112g, 39g, 6g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Cod Fillet, Barley, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",178,14.2,2.9,24.2,"Vitamin C, Vitamin E, Vitamin B12, Vitamin D3","Calcium, Magnesium",20 mins,Medium,"General Wellness, High Protein","General Wellness Support, High Protein Support",https://pawfeed.ai/recipes/dog-premium-cod-fillet-and-barley-bite-sized-dinner
